,App,0,1,2,3,4,5,6,7,8,9,10,综合得分
0,NetEase Cloud Music,-0.4068667419369508,0.3234810307730474,-1.0552498608066572,1.902321133807615,-0.4054208492487033,-0.9205432428989404,-0.28731931021627866,0.0812539582850341,-0.19144265582972486,-1.2743291575576543,-3.1457762236297917,-0.3903820013683135
1,NetEase Cloud Music,-0.33090119383646016,0.3102245738526112,-0.3050916393592391,0.8321264353547204,-0.0942604515834664,-0.8892188272032975,-1.1631913387005892,-0.4210687086489831,-0.13690135412291304,-1.6932256869613278,-3.3389249181007172,-0.5437934398413385
2,NetEase Cloud Music,-0.5500868373481044,0.3069272910625735,0.39898915583915123,-0.07197686857711673,-0.012517461733689311,-1.1080527230136568,-0.15777907265500732,-0.6529955019165543,-0.075452912762997,-1.2510300233677596,-3.0399916818881003,-0.516913839916144
3,NetEase Cloud Music,0.14402627867361423,-0.05451096318641348,-0.26254809698708365,3.003985203151764,-0.5318180257013807,-0.6134656769484905,-0.7809810402725403,-0.09874097654847692,0.06652680805663273,-1.2898212273444862,-4.229008531425367,-0.3002757741391962
4,NetEase Cloud Music,-0.42358476047171156,0.0615855961954064,-0.7909391463695002,0.9412077188957777,-0.5275633755292002,-1.1133811650863876,-0.8365800034857984,-0.20907705660890105,0.36580014593644605,-1.4079533404737958,-2.607058976185745,-0.5139411206683507
5,NetEase Cloud Music,0.3094702076830843,0.40855104500491884,-0.8070896239938298,0.8802891585254479,-0.5729211722991979,-0.6549474936349429,-0.721892062423992,-0.140991366417836,-0.25263789532355685,-1.6319650537907289,-3.1195743125435387,-0.422213581470391
6,NetEase Cloud Music,-0.5854373461292854,0.13453854446030325,-0.27552886412976296,2.2333041358447203,-0.04858040776307669,-0.558714698732032,-0.37320291162431113,-0.39316631178157896,-0.23012270620475608,-0.587876085360197,-2.5104517046141033,-0.23212280670863386
7,NetEase Cloud Music,-0.04609089297823973,-0.21096857858614523,0.6662458433915958,2.3151725718553506,-0.33503624288925354,-0.3555861130626861,-0.8950208505026087,-0.7024761206447255,-0.3539335872753475,-0.9730417909336663,-2.007252797100085,-0.1818647748047569
8,NetEase Cloud Music,-0.39520727955623847,0.38718725193564024,0.030892175345485162,0.42780982169231563,-0.31636142444976356,-1.2064850034005887,-0.7013025594802227,-0.13665354934179158,-0.4902349102013719,-0.8128993084132505,-2.9684352674542165,-0.4927669800686612
9,NetEase Cloud Music,-0.3985099216951118,0.4584501676568758,0.38929062443083057,-0.09646822496046646,-0.4618877342167032,-1.02865744390625,-0.6285478773952528,-0.7251661170204623,-0.34575387704775656,-1.540999601990132,-2.9016164083697267,-0.5697476610420665
10,NetEase Cloud Music,-0.44397238883383083,0.45135305768263445,-0.2859937024302912,-0.32888067784618863,-0.1826544641806763,-0.5608014610731565,-0.5645880240763036,0.3266879549274935,-0.7500776233526797,-2.0643410683020575,-2.6047301296649876,-0.5565935053647553
11,NetEase Cloud Music,-0.6745331738218701,0.3468472819728458,-0.05090875620903951,1.172065646554781,-0.4600574248534191,-0.7862723522304802,-0.745806017532688,-0.2267402645348436,0.6321567946865413,-1.7276250277031677,-2.0431425246621795,-0.3427706429935037
12,NetEase Cloud Music,-0.07368925421461656,0.5935854996196083,-0.2031614806069985,2.0447073909672344,-0.3492791015809856,-1.139642262748559,-0.7356765933887827,0.3722312909807731,0.02651580735018958,-0.9571387840008084,-3.241455373185424,-0.2248118652494989
13,NetEase Cloud Music,-0.6136176384252277,0.6784974223977841,-0.06662478508538636,-0.053319384583467196,0.027220342479929997,-0.5264477070443236,-0.30787666138612696,-1.0873809179236114,-1.1080445861505288,-0.45166865290365454,0.35966953270072816,-0.21623978193756674
14,NetEase Cloud Music,-0.19697942061804433,0.720489223731912,-0.18981392120604793,-0.08810607404841182,-0.2850746850159648,-0.4284050984994681,0.536963797624511,-0.6976387052543714,0.16226728088699913,-0.42413770090002256,0.22794926608989727,-0.005361885060922881
15,NetEase Cloud Music,-0.2717653960301559,0.36023798175996097,0.507653702787448,1.8030937105436997,-0.7396856849510322,-0.48656675767727975,-0.32614629656299643,0.09348460704662774,-0.5762181649918363,0.06516103687403532,0.11222267749645429,0.08765231529189108
