,App,0,1,2,3,4,5,6,7,综合得分
0,58job,-0.10264997086140197,0.1383237309992544,0.7462309334376487,-1.4064273416133866,3.589508596500127,3.530227251203711,-2.7991188880404194,-1.7015877203713146,0.12372638185609937
1,58job,0.4914921503720535,-0.19308503011952655,0.8126669361564749,-0.3483192336857656,0.7121299118673395,-2.339402966529207,-2.036588880429583,-0.23372145855746654,-0.20513373439063323
2,58job,-0.252542370381577,0.7256460045846228,1.1727112157063435,-1.2870555941058137,0.9836078834370064,-1.0547942977839815,0.5690607078063239,-0.7461361746263285,-0.02195741441538331
3,58job,0.11566190010863275,0.723296656625613,0.5648952830344539,-0.9277245276930932,3.0509892258097118,-2.2786651664405277,-1.92509466838165,-0.9425253523444057,-0.10647872009035503
4,58job,-0.6488359100893177,-0.12415482076846363,1.4868668951730273,-1.1244833452459215,5.2824347924477415,-1.935069710870402,-0.8296662786539205,-0.20294579658851392,0.1290945798400798
5,58job,0.9234095273440263,0.7811485002947466,-0.5176015175641978,-0.10933866238720306,-0.14701339862524282,-2.5754802307276123,0.6318719813970549,-1.2340816756088515,-0.037675897908005664
6,58job,1.2917901402979903,0.3576926455316331,1.1803958831733328,-1.1047837101600164,1.6370520525273462,-2.7687868382715672,4.229812338507687,-0.5107636846773663,0.6457592876621621
7,58job,1.801658816531424,-0.05057258311188174,0.06798037227128857,-0.27542348895306706,2.2150681889982162,-1.264674657589141,1.0207399679908558,0.07513939862656538,0.6239003157058531
8,58job,1.6533607328292883,-0.3750709118579581,0.0885991749029337,0.03362135239067529,0.8238464028082996,-1.6043589353425178,0.9855763101308922,-0.13026136614486222,0.4088425107319971
9,58job,0.8676153008886152,0.5507296882408302,0.2820968926813633,-0.5957545720975439,1.8274456988016878,0.15286353334559455,0.8747300736483272,-0.006058452241113913,0.5030726273560012
10,58job,0.9802820132127174,0.2343801581339864,-0.5187958980489298,-0.9601398645908589,3.1453019040004913,0.2646592070186716,-1.0531853913785671,-0.16835568745527546,0.2788330926621822
11,58job,0.7334000285721795,-0.5776513862134395,-0.17682733588527488,-0.4549592707463166,0.42293022907524563,-0.49894288400680475,-0.8712176603301287,1.2451534971476994,0.02768321741313351
12,58job,1.6525087608978577,-0.3297830469549843,0.444137741764955,-0.9454088152847783,1.435708124844924,1.444702881736932,-0.19109404137131403,0.3009989876276848,0.5411158460774534
13,58job,1.0160156890773182,-0.09931125816429372,-0.4680669890058398,-0.5490099611963133,0.9992039000497909,1.155249080544777,0.6769502303914102,0.8401450379730792,0.42341656473815215
14,58job,1.3154734016418057,0.012931813503662749,0.0489820266704338,-0.6703992510283652,0.07501570411650604,0.6921386217473354,0.5259574734230668,0.9828625240370517,0.412320960651473
15,58job,1.0091798285068663,0.07976304067002504,0.10677260184916386,-0.9779095485206962,0.7185565483840485,1.6665735602903702,0.5477249524079619,1.1277654945719857,0.4689147407050107
16,58job,2.141468602507596,-0.12836966890729123,-0.9501611715613829,0.2276231236909648,0.4877271450488824,1.0015432409913245,-0.2345216228443774,0.6754846294778252,0.5800225788377832
17,58job,1.9249260452518135,-0.22503032312136506,-0.8330580040191334,0.16849904215649927,1.734330964635268,1.9436077390236357,-0.43829704638245603,-0.03411995240264911,0.6574245389372421
18,58job,1.744645283283901,-0.18972522782227919,-0.40118973820434356,-0.8147272963984623,1.774514877369967,-0.2793343326361583,-0.056869757884779056,1.1749583805423423,0.4658040215765665
19,58job,1.1708166571319358,-0.37050376348470454,-0.09254677569525885,-0.9283555993931434,0.0032478217186390976,-0.6739969281270252,-0.5288628538799565,2.233275615099111,0.14403592825564682
20,58job,0.798366385149308,-0.3909056741475448,-0.5832656802294948,-0.6194534686817719,-0.40731370718368365,-0.907874272751978,-0.6562942409332077,3.771494700669784,0.08406060614921898
21,58job,0.5329196098410974,-0.2452309436022979,-0.6548413364508048,-0.44223830209148274,-0.5433693581772355,-0.38916696693173003,-0.47796711273720144,2.9465121047326948,0.03966331004940388
22,58job,0.3900444072357939,-0.18521557239857253,-0.6693014046425284,-0.5389234246352713,-0.09564917549979836,-0.2415123115339821,-0.766152290782397,2.6516854307082993,0.0028681691853527876
23,58job,1.1790438692888703,-0.2650261077948572,-0.8184802240832186,-0.3427365195229916,-0.5560941799739878,-0.22725701504221407,-0.7341716217602623,1.373815205881799,0.051840879992771226
24,58job,1.4401984826229601,-0.18897516461146346,-0.1398211241779052,-0.7494543843192762,-0.6203985569675212,-0.381279695989066,-0.42828252965160285,0.630134233878378,0.09637132747444824
25,58job,0.1523342756074112,0.3030347935386313,-0.47658509271501603,-0.35565169819318665,-0.5112325981864515,-0.7010212225420898,-0.15270490261407654,0.3947877850974997,-0.1418244293634626
26,58job,-0.3141214627697403,0.6048571901044512,0.29609174267422517,-0.18497716899293468,-0.03340672987691222,-1.2820013021954018,-0.9477537416731526,0.41170872291235644,-0.1748032341501893
27,58job,-0.09866244132627952,0.9581238533385527,0.2726434538110187,-0.47408615634119544,-0.4222871704848661,-0.9708965390746783,-0.20698297518161338,0.04558495121285324,-0.09987244680372347
28,58job,0.29705613129532343,0.6450975532526074,0.34445494254342995,-0.17144470349227892,-0.3625350634573986,-0.6931598831246788,-0.6922533525927195,0.5710310631277137,0.03730510315731467
29,58job,-0.08513897000166785,-0.9338415264244692,0.4145126396677054,2.4276689323611627,2.0628051008550385,2.1985303551071658,3.2383161778598173,6.678609286155726,1.5526082212708394
30,alipay,0.6350125859298309,0.6124357648887764,0.6239619094815446,0.662237230862901,0.09421830327133224,-0.3909819769546128,-0.6699876234755434,-0.5283747386630239,0.2701760610084077
31,alipay,-0.02357126136894344,0.6272652845054526,0.26495898689284997,0.7235785627337282,0.22125619590389134,0.894960404019104,-0.296831303417498,-0.3459889691309638,0.2535678342160554
