App,0,1,2,3,4,5,6,7,8,综合得分
baidu,2.5091241309857186,7.565135770009351,-0.01728482943955891,-0.45818349037120537,-0.5816464285311418,0.910668146955073,1.0764265235564314,1.90980589575608,1.768620735509428,1.4836258591199796
baidu,2.0933956744912017,7.369061067057288,-0.07103627244067273,-0.49454610837752266,-0.3673463957607878,0.8905800117083719,0.9565635317263328,2.0259321038864253,1.8082678190341923,1.4162277708909536
baidu,2.341276509340843,6.495462081473684,0.12319863335101996,-0.46099108951782375,-0.10171236488470738,0.38399197513506056,0.34993560005308216,1.9022992809686006,1.7745193610195837,1.3448179107359912
baidu,2.0833411182579873,6.351187527904143,-0.1002986150643265,-0.2931825102589679,0.5380133495562053,-0.18495954677733747,-0.5001103867094926,1.4085511928572967,1.626194115955473,1.2123379826015441
zoom,-0.14949525611131373,-0.1733625267640496,1.3739712165394502,11.200489218422504,0.2617965192088672,2.1117669668473567,-0.7138100662640446,0.48231759563659404,1.9352934794278247,1.1797728832503405
CHINA DAILY,3.0404589665667867,-0.057628644198120395,1.5002359248884893,0.21980794677118903,0.24193041444910074,2.1581621383793204,1.2458870333711225,-0.5198172094332196,0.05220622856505164,1.0975524767065596
baidu,2.1763050077128994,5.0284009372028775,0.009408149937075977,-0.2199262335337342,0.748520731471041,-0.3505965604813802,-0.9610238780694699,0.33392312285336084,1.879922962897511,1.0750381232583142
CHINA DAILY,3.13685448227578,-0.31402232288005694,-0.23723947223547545,0.05852979703500718,0.2977021036573011,1.0722553743397414,2.1087620978543966,1.4025710060518901,-0.4283669284182102,1.047468018641966
CHINA DAILY,2.435450052013148,-0.3689632088693393,1.2330837544626523,0.040164344855347665,0.43818707198590223,1.6894768083996832,2.5013491609483562,2.025000578317786,-1.5999847232718998,1.0404565395400545
CHINA DAILY,2.3139083695630456,-0.05806298712495955,0.15324660492744138,-0.3210533802272125,0.5540458058457604,1.5693914795429023,1.8096603050292057,1.4142484654695002,0.2385927035531488,1.0363731856118525
CHINA DAILY,2.542443933081375,0.0016250103131020893,1.1765393456836515,0.0040053666981358805,0.14098034347944086,2.277537176884594,1.0080223313485994,2.5287418691282806,-1.073586709556382,0.9989078428326811
CHINA DAILY,3.3568250541085964,-0.7187573518197353,0.576160396524203,0.001540381491031058,0.4306352396142573,1.0154537670551576,-0.794335872970205,2.0983831173135807,0.4635533011379343,0.9542184189355496
58job,3.2442269637794703,1.344767731114521,-1.094206470601455,0.9096924813330444,0.5656400598635021,-0.7539059465912208,-0.594425136684265,-0.4350302253121049,2.131902626370613,0.9467516405273265
baidu,2.3014805477882416,3.7090655484365267,-0.8340652622940412,-0.10516568130092424,0.7519463879342517,-0.4417519415568733,-0.804394434262899,0.6569616800208011,1.5668690796933924,0.9412759705897675
CHINA DAILY,1.7876696096778364,0.1272836918063567,1.1593612094745724,0.06627660884989547,0.4915737478811404,2.791309080937142,1.5727430128485536,-0.4745663721779835,-0.4321905743163467,0.9116265946965709
CHINA DAILY,3.311110458910954,-0.6121713783619245,-0.05825143057597866,-0.5401330164838957,1.0860389014175122,1.2010425141561765,0.015494043154985173,-1.624988069340394,0.6456596317551879,0.8937214820589124
CHINA DAILY,2.8583117895840435,-0.061794708187874595,-0.17730363938566845,-0.5013344682386038,1.0035830495935094,1.6817569352424713,-1.3088203089235695,0.9037701243451076,0.6619737618093344,0.8790562198766734
CHINA DAILY,3.5448778262009513,-0.7316425621739475,0.20616950214901728,-0.3880572848619034,0.919823551071209,-0.23763460077727114,-0.9259055172660351,-0.21813041332359698,1.3791820102757983,0.8662732529042557
kailichen,0.9066179149761122,0.05342559138615394,0.4704398543164824,-0.19107788345586388,1.0503875189434657,1.8587689830861667,1.8358434050441454,-1.2076883705406405,1.2335565263248762,0.853786432189788
